Use Case,Query,URL,SEO Score,SEO Score After,Position Score,Position Score After,Similarity Score,Similarity Score After,Website Score,Website Score After,Sentiment Score,Sentiment Score After,Final Score,Final Score After
Medicare Parts,What are the parts of Medicare?,https://www.medicare.gov/basics/get-started-with-medicare/medicare-basics/parts-of-medicare,0.5,0.5,0.0,0.0,0.894181393456802,0.8920496090876465,0,0,0.0,0.0,0.2788362786913604,0.2784099218175293
Weill Cornell,What is the best center for reproductive medicine in New York City?,https://weillcornell.org/news/newsweek-ranks-center-for-reproductive-medicine-nation%E2%80%99s-1-fertility-clinic,0.5,0.5,1.0,1.0,0.915160739174622,0.915160739174622,1,1,0.237,0.237,0.7304321478349245,0.7304321478349245
Medicare Parts,What is Original Medicare? ,https://www.medicareinteractive.org/get-answers/medicare-health-coverage-options/original-medicare-coverage/original-medicare-basics,0.5,0.5,1.0,1.0,0.8897649458884646,0.8897649458884646,1,1,0.228,0.228,0.723552989177693,0.723552989177693
Weill Cornell,What is the best center for aging in New York City?,https://weillcornell.org/agingctr,0.5,0.5,1.0,1.0,0.9000218353981023,0.9007149003488398,1,1,0.266,0.216,0.7332043670796204,0.7233429800697679
Extra Help Basics,What is LIS?,https://www.medicareinteractive.org/get-answers/cost-saving-programs-for-people-with-medicare/the-extra-helplow-income-subsidy-lis-program/extra-help-basics,0.5,0.5,0.0,0.0,0.8244332663282843,0.8298909372996327,0,0,0.0,0.0,0.26488665326565686,0.2659781874599266
Extra Help Basics,What do I do if I can't afford my drugs?,https://www.medicareinteractive.org/get-answers/cost-saving-programs-for-people-with-medicare/overview-of-cost-saving-programs/options-for-those-who-are-having-trouble-affording-drug-costs,0.5,0.5,0.08333333333333333,0.08333333333333333,0.8688079933779824,0.8684642361099264,1,1,0.091,0.091,0.5086282653422632,0.508559513888652
IRMAA,Why do I have a higher Part B premium? ,https://www.medicareinteractive.org/get-answers/medicare-health-coverage-options/original-medicare-costs/part-b-costs-for-those-with-higher-incomes,1.0,1.0,0.0,0.0,0.8943377308213184,0.8943377308213184,0,0,0.0,0.0,0.37886754616426366,0.37886754616426366
Home Health Care,How do I/you qualify for home health care under Medicare?,https://www.medicareinteractive.org/get-answers/medicare-covered-services/home-health-services/eligibility-for-home-health-part-a-or-part-b,0.5,0.5,0.0,0.0,0.9024432037406089,0.901811649815873,0,0,0.0,0.0,0.2804886407481218,0.2803623299631746
Weill Cornell,What is the best ophthalmology center in New York?,https://weillcornell.org/wcm-ophthalmology,0.5,0.5,0.0,0.0,0.8769563106680621,0.9132372170974352,0,0,0.0,0.0,0.2753912621336124,0.28264744341948705
Home Health Care,Does Medicare cover care at home?,https://www.medicareinteractive.org/get-answers/medicare-covered-services/home-health-services/eligibility-for-home-health-part-a-or-part-b,0.5,0.5,0.0,0.0,0.8947543045527748,0.9056835890442997,0,0,0.0,0.0,0.278950860910555,0.28113671780885996
Donut Hole,What is the donut hole?,https://www.medicareinteractive.org/get-answers/medicare-prescription-drug-coverage-part-d/medicare-part-d-costs/the-part-d-donut-hole,0.5,0.5,0.125,0.125,0.8651592932681679,0.8651592932681679,1,1,0.0,0.0,0.49803185865363353,0.49803185865363353
Donut Hole,What is the coverage gap?,https://www.medicareinteractive.org/get-answers/medicare-prescription-drug-coverage-part-d/medicare-part-d-costs/the-part-d-donut-hole,0.5,0.5,0.125,0.125,0.8610441691724945,0.8579382150796258,1,1,0.0,0.0,0.4972088338344989,0.4965876430159252
Weill Cornell,What is the best weight loss center in New York?,https://weillcornell.org/comprehensive-weight-control-center,0.5,0.5,0.0,0.0,0.9000568572806088,0.895524528698805,0,0,0.0,0.0,0.28001137145612176,0.279104905739761
Weill Cornell,Best doctors in reproductive medicine in the US,https://weillcornell.org/zrosenwaks,0.5,0.5,0.0,0.0,0.8799925956942036,0.8799925956942036,0,0,0.0,0.0,0.2759985191388407,0.2759985191388407
Weill Cornell,Weill cornell dermatology center for hidradenitis suppurativa,https://weillcornell.org/steven-cohen-md-mph,0.5,0.5,1.0,1.0,0.9300850898760267,0.9305840246993194,1,1,0.071,0.049,0.7002170179752054,0.6959168049398639
Weill Cornell,Top medical schools in the US east coast,https://weill.cornell.edu/,1.0,0.5,0.0,0.0,0.9047630076971491,0.9075365213711679,0,0,0.0,0.0,0.38095260153942984,0.2815073042742336
Weill Cornell,What is Weill Cornell Medicine?,https://weill.cornell.edu/,0.5,0.5,0.25,0.0,0.917712274864557,0.9244745080202307,1,0,0.159,0.0,0.5653424549729114,0.2848949016040462
Cornell,Top universities for computer science program in the US east coast,https://www.cs.cornell.edu/,0.5,0.5,0.0,0.0,0.9086118227325389,0.9132151616481533,0,0,0.0,0.0,0.2817223645465078,0.2826430323296306
Weill Cornell,Weill cornell doctors,https://weillcornell.org/doctors,0.5,0.5,0.0,0.0,0.8462316989751961,0.8462316989751961,0,0,0.0,0.0,0.2692463397950392,0.2692463397950392
