Use Case,Query,URL,SEO Score,Position Score,Similarity Score,Website Score,Sentiment Score,Final Score,SEO Score After,Position Score After,Similarity Score After,Website Score After,Sentiment Score After,Final Score After
Medicare Parts,What are the parts of Medicare?,https://www.medicare.gov/basics/get-started-with-medicare/medicare-basics/parts-of-medicare,0.5,0.0,0.8880496219214106,0,0.0,0.2776099243842821,0.5,0.0,0.8917974610352937,0,0.0,0.27835949220705875
Weill Cornell,What is the best center for reproductive medicine in New York City?,https://weillcornell.org/news/newsweek-ranks-center-for-reproductive-medicine-nation%E2%80%99s-1-fertility-clinic,0.5,0.0,0.9113892228532319,0,0.0,0.28227784457064636,0.5,1.0,0.9113758126232488,1,0.182,0.7186751625246497
Medicare Parts,What is Original Medicare? ,https://www.medicareinteractive.org/get-answers/medicare-health-coverage-options/original-medicare-coverage/original-medicare-basics,0.5,0.2,0.8957616486957491,1,0.191,0.5573523297391498,0.5,0.2,0.8975527327457065,1,0.211,0.5617105465491412
Weill Cornell,What is the best center for aging in New York City?,https://weillcornell.org/agingctr,0.5,1.0,0.8928996023638057,1,0.147,0.7079799204727611,0.5,1.0,0.8927397780558672,1,0.144,0.7073479556111735
Extra Help Basics,What is LIS?,https://www.medicareinteractive.org/get-answers/cost-saving-programs-for-people-with-medicare/the-extra-helplow-income-subsidy-lis-program/extra-help-basics,0.5,0.0,0.8294850594430998,0,0.0,0.26589701188861997,0.5,0.0,0.8302812406581707,0,0.0,0.2660562481316341
Extra Help Basics,What do I do if I can't afford my drugs?,https://www.medicareinteractive.org/get-answers/cost-saving-programs-for-people-with-medicare/overview-of-cost-saving-programs/options-for-those-who-are-having-trouble-affording-drug-costs,0.5,0.125,0.86411895978563,1,0.136,0.525023791957126,0.5,0.125,0.8545233732452701,1,0.136,0.5231046746490541
IRMAA,Why do I have a higher Part B premium? ,https://www.medicareinteractive.org/get-answers/medicare-health-coverage-options/original-medicare-costs/part-b-costs-for-those-with-higher-incomes,0.5,0.0,0.8750360033732103,0,0.0,0.27500720067464207,0.5,0.0,0.8746352785831162,0,0.0,0.27492705571662324
Home Health Care,How do I/you qualify for home health care under Medicare?,https://www.medicareinteractive.org/get-answers/medicare-covered-services/home-health-services/eligibility-for-home-health-part-a-or-part-b,0.5,0.0,0.9041674344963658,0,0.0,0.2808334868992731,0.5,0.14285714285714285,0.9016233070588868,1,0.191,0.5470960899832059
Weill Cornell,What is the best ophthalmology center in New York?,https://weillcornell.org/wcm-ophthalmology,1.0,0.0,0.8854018183763366,0,0.0,0.3770803636752673,0.5,0.3333333333333333,0.8934633036689784,1,0.177,0.5807593274004623
Home Health Care,Does Medicare cover care at home?,https://www.medicareinteractive.org/get-answers/medicare-covered-services/home-health-services/eligibility-for-home-health-part-a-or-part-b,0.5,0.0,0.9063652602767559,0,0.0,0.28127305205535114,0.5,0.0,0.9091243354104012,0,0.0,0.2818248670820802
